kind,title,location,leaders,start,finish,lat,lon,description
"training","Basic Rope Rescue Clinic","Redwood City, County Garage","Dan Herman, Tzvetie Erohina","2006-06-24","2006-06-25","","","This training will cover the basics of vertical rock rescue in a wilderness setting.  Topics will include at an introductory level: load analysis and force management, rope technology and handling, rescue knots and hitches, tandem-prusik belay, mechanical advantage systems, litter rigging and handling, and basic raising and lowering systems.  This training is open to BAMRU members, trainees and guests.              <p>|<a href='trainings/july04-basic-rescue' class='navover style2'>2004 details</a> |"
"training","Canyoneering","Tenaya Canyon","Marco Cavalieri, Tzvetie Erohina","2006-09-20","2006-09-21","","","We will do a technical descent of Tenaya Canyon.  Due to the nature of this training, this is open to BAMRU Members and Trainees only.  This mid-week training feeds into the BAMRU Advanced Rope Rescue training. Mobilization/Demobilization procedures apply. "
"training","Advanced High-Angle Rescue","Yosemite N.P.","Dan Herman, Tom Lass","2006-09-22","2006-09-24","","","This intensive weekend will provide advanced-level training on                 current best-practices for vertical rock rescue in a wilderness                 setting.� Lecture topics may include:  load analysis,                 system design and integration, operational communications and                control, integration with other teams, emerging ideas and technology,                and special situations.� Field exercises will put these ideas                 to use in live operations with lots of exposure.� Both lectures                 and field exercises will include detailed discussion of the how's                 and why's of the systems BAMRU prefers.�              <p>Open to selected guests				with technical rescue experience.</p>                <p>|<a href='trainings/sept04-yosemite' class='navover style2'>view 2004 details</a> |<br>"
"training","Search Management and ICS","Bay Area TBA","Ahntholz, Erohina","2006-11-18","","","","This search management training will in part be oriented toward preparation for BAMRU's 2007 MRA Search Management Recertification.  We will focus on ICS as well as search strategy. Open to members, trainees, and guests."
"meeting","General","Castro Valley","","2007-02-12","","","",""
"other","Unit Holiday Party","Danville","Tom Grossman","2007-12-09","","","","Social gathering plus elections, 3:00 pm - 6:00 pm.  Please see email for details."
"training","Winter Point-to-Point Trip","Sierra Nevada","Andy Leak, Bill Parker","2007-03-24","2007-03-25","","","Details TBA."
"training","Winter Skills - 2007","Carson Pass","Andy Leak, Martin Lanner","2007-01-20","2007-01-21","","","This training will include routefinding in avalanche terrain and beacon and probe line practice.  Open to guests with pre-approval of trip leaders."
"training","Tracking & ELT Search","Huddart Park, Redwood Shelter (near Woodside)","Marco Cavalieri, Lars Ahntholz","2007-02-24","","","","Tracking will start at 0800 hrs, and will last a couple of hours.  <BR><BR>ELT search training will begin at approx 1030 hrs, starting with a presentation at Werder Shelter, followed by an actual field search for an ELT transmitter.  <BR><BR>Although we will be near the park shelter for portions of these trainings, please come prepared to be out in the field (rain or shine) until the ELT transmitter is located � weather-appropriate clothing, food, water, headlamp, navigation tools, park maps for San Mateo County, etc.  <BR><BR>For additional details about tracking training, please contact <a href='mailto:mcavalieri@burlingame.org'>Marco Cavalieri</a>.  For details about ELT search skills, please contact <a href='mailto:lars_a@mindspring.com'>Lars Ahntholz</a>.<BR><BR>Follow this <a href='http://www.co.sanmateo.ca.us/smc/department/home/0,,5556687_12313305_12328471,00.html'>link for Huddart Park map and details</a>."
"meeting","General","Redwood City","","2007-03-19","","","","BAMRU monthly meeting"
"meeting","General","Redwood City","","2007-05-14","","","",""
"meeting","General","Castro Valley","","2007-06-18","","","",""
"meeting","General","Redwood City","","2007-07-16","","","",""
"meeting","General","Castro Valley","","2007-08-20","","","",""
"meeting","General","Redwood City","","2007-09-17","","","",""
"meeting","General","Castro Valley","","2007-10-15","","","",""
"meeting","General","Redwood City","","2007-11-19","","","",""
"other","Ham Radio Study & Testing","Redwood City","BAEARS","2008-09-06","","","","The Bay Area Educational Amateur Radio Society (BAEARS) is hosting a one-day Amateur radio study session followed by FCC license testing.  Visit the <a href='http://baears.com/'>BAEARS website</a> for additional details and to register.  Contact <a href='mailto:lars_a@mindspring.com'>Lars Ahntholz</a>, Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.This is a quarterly event."
"training","Medical Skills","Clayton, Mt. Diablo State Park","Tom Lass","2007-10-20","2007-10-21","","","A two day course designed for search and rescue volunteers. The class will cover patient care issues in both urban and rural rescue settings. The course will also include basic patient assessment, triage in the wilderness, wilderness emergency scenarios and use of various search and rescue equipment, used in a medical setting.<p>|<a href='trainings/oct07-medical' class='navover style2'>details</a> | <br>"
"training","Advanced Technical Rescue","Yosemite Valley","Dan Herman, John Chang","2007-09-21","2007-09-23","","","This intensive weekend will provide advanced-level training on                 current best-practices for vertical rock rescue in a wilderness                 setting.� Lecture topics may include:  load analysis,                 system design and integration, operational communications and                control, integration with other teams, emerging ideas and technology,                and special situations.� Field exercises will put these ideas                 to use in live operations with exposure.� Both lectures                 and field exercises will include detailed discussion of the how's                 and why's of the systems BAMRU prefers.<p>Likely special topics for this year will include highlines, difficult edges, and night ops.              <p>Open to selected guests				with technical rescue experience.</p>                <p>|<a href='trainings/sept04-yosemite' class='navover style2'>prior year details</a> |<br>"
"training","Alpine Skills II","Desolation Wilderness","Mark Elston, Marco Cavalieri","2007-08-10","2007-08-12","","","Program intended to provide experience in alpine envronment.  This will be a multi-day (fri-sun) through or loop hike in the Desolation Wilderness area near Lake Tahoe.  The goal is to get or refine experience in an Alpine environment (6-9k).  It's intended to be a non-technical (no climbing/rescue/snow equip) trip with the focus on efficient packing, movement, routefinding, trail breaking and multi-night capability at altitude.  Since permits will be required for this trip we need those interested to commit asap so arrangements can be made.  Open to Members and select Guests with Leader Approval."
"training","Operation Leader Orientation","500 Allerton, Redwood City","John Chang, Martin Lanner","2007-04-21","","","","Provide training and tools to new Operation Leaders (OL). Provide a refresher course for veteran Operation Leaders. Provide a preview to trainees and members who anticipate taking on leadership roles.  Open to Members and Trainees only."
"training","Basic Technical Rescue","Huddart Park","Dan Herman, Leonard Brzezinski","2007-05-26","2007-05-27","","","This training will cover the basics of vertical rock rescue in a wilderness setting.  Topics will include at an introductory level: load analysis and force management, rope technology and handling, rescue knots and hitches, tandem-prusik belay, mechanical advantage systems, litter rigging and handling, and basic raising and lowering systems.  Sunday we will discuss, set up, and operate Kootenay highlines, both drooping and with reeves.  This training is open to BAMRU members, trainees and guests.              <p>|<a href='trainings/july04-basic-rescue' class='navover style2'>prior year details</a> |<br>"
"training","Multi-Pitch Climbing Skills","Tenaya Peak","Martin Lanner","2007-06-23","2007-06-24","","","Basic multi-pitch rock climbing skill and techniques.  Open to Members and select Guests."
"training","Alpine Skill I - Peak Bag","Mt Lyell","Tzvetie Erohina","2007-07-20","2007-07-22","","","Training to focus on lightweight techniques for covering distances quickly in an Alpine environment and to develop/increase comfort in mountain settings.  Basic snow travel / safety (i.e., ice ax arrest) will be practiced if conditions permit.Open to Members and select Guests with Leader Approval."
"other","Washington SAR Conference","Cashmere, WA","TBA","2008-05-16","2008-05-18","","","Washington State SAR conference. For more info <a href='http://www.sar2008.com'>http://www.sar2008.com</a>"
"meeting","General","Redwood City, 2008"," (not 3rd Monday)","2008-01-14","","","",""
"meeting","General","Castro Valley"," (not 3rd Monday)","2008-02-04","","","",""
"meeting","General","Redwood City","","2008-03-17","","","",""
"meeting","General","Castro Valley","","2008-04-21","","","",""
"meeting","General","Castro Valley"," (not 3rd Monday)","2008-05-12","","","",""
"meeting","General","Castro Valley","","2008-06-16","","","",""
"meeting","General","Redwood City","","2008-07-21","","","",""
"meeting","General","Castro Valley","","2008-08-18","","","",""
"meeting","General","Redwood City","","2008-09-15","","","",""
"meeting","General","Redwood City","","2008-10-20","","","",""
"meeting","General","Redwood City","","2008-11-17","","","",""
"training","SAR Intro & Mock Search","San Mateo County","Lars Ahntholz, Colin Little","2008-03-22","","","","This hands-on day is designed for people who are considering joining BAMRU. You will have a chance to get to know BAMRU people in a field setting and participate in SAR field activities. If you want to go on this training, you are REQUIRED to attend the Monday March 17 General Meeting. This training will provide a flavor of typical search and rescue work, including working with the family/friends of the missing person, search organization and management, the vital role of the Sheriff's Office, radio communications, field search techniques, and carryout of an injured person in a litter. Should you determine that you are interested in volunteering with BAMRU, you will then want to attend the April SAR Basic training. "
"meeting","General","Member's Social and Elections","","2007-12-09","","","",""
"training","SAR Basic Training Orientation","San Mateo County","John Chang, Ben Yaffe","2008-04-26","2008-04-27","","","Intensive weekend training to orient prospective members on the basic skills required to contribute effectively to search and rescue operations. Intended for people with no prior SAR experience. "
"training","Rock Skills","Tahoe area","Lucas Marciniak, Colin Little","2008-06-14","2008-06-15","","","Two day course in general rock skills applied to SAR applications. Topics include Anchors (trad gear and natural protection), belaying, Rappelling, Basic self-rescue, jugging, and using your emergency evac equipment. Focus will be on both theory and practice. "
"meeting","General","Redwood City - 2007","","2007-01-08","","","",""
"training","Winter Skills, 2008","Carson Pass","Andy Leak","2008-01-26","2008-01-27","","","We will conduct a two-day winter training exercise for BAMRU members, trainees and selected guests.<p>During the training, we will engage in a number of exercises, which may include:<ul><li>navigation and routefinding<li>avalanche assessment <li>beacon search <li>winter shelters<li>ice axe arrest <li>snow anchors<li>probe search</ul>More detailed information and assignments will be distributed via our Yahoo group and at our General Meeting prior to the training."
"other","Sheriff's Driver Training Part 1","Redwood City","ESD","2008-01-10","","","","This evening classroom session, in conjunction with the subsequent hands-on training, provides 2-year certification to drive San Mateo County rescue and transport vehicles. 1900 in Jury Assembly Room. "
"other","Sheriff's Driver Training Part 2","Redwood City","ESD","2008-01-12","","","","In conjunction with the earlier classroom module, this Saturday morning practical session provides training to drive County vehicles."
"other","MRA Recertification","Alabama Hills, Inyo County","Marciniak","2008-03-01","","","","Annual California-Region Mountain Rescue Association recertification. The topic this year is Technical Rescue.   Visit the <a href='http://www.crmra.org/'>CAMRA website</a> to learn more about the California Region of the MRA."
"meeting","General","Public Meet & Greet 1/2 hr before mtg","","2008-01-14","","","",""
"training","Technical Rescue Practicum","Mt. Diablo","Dan Herman, Tom Lass","2008-02-09","","","","This one-day practice in preparation for the March 1 MRA recertification in technical rock rescue is open only to members/trainees attending the recert.<p>Note this is a practice and not a training.  We'll focus on executing successively involved technical scenarios to build competence and fluidity and hope to avoid introducing didactic material or extended discussion.  More detail will be sent to participants by email the preceding week."
"training","Litter Handling","Planet Granite, Belmont","Dan Herman, Lucas Marciniak","2007-12-16","","","","Starts at 18:15. Topics include litter handling and patient packaging. Sorry, no guests. If you have never been to PG before, you will need to complete a liability waiver."
"training","Basic Technical Rescue","TBA Bay Area","Colin Little","2008-07-26","2008-07-27","","","This training will cover our standard rescue systems for technical rescue.   While we will be covering some theory, the focus of this two day training will be on efficiently setting up and operating our basic raising and lowering systems.  Guests who attend the rock skills training in June or those with specific permission of the instructor are welcome.  "
"training","Alpine Skills","Banner Peak, Eastern Sierra","Tzvetie Erohina, Cris Benner","2008-08-23","2008-08-24","","","The training will focus on lightweight techniques for covering distances quickly in an Alpine environment and on developing/increasing comfort in mountain settings. The training will include a peak attempt over Class III terrain at altitude (13-14k). Basic snow travel / safety (i.e. ice axe arrest, crampon technique) will be practiced if conditions permit. This training will not teach ice axe and crampon technique. Open to members and select trainees with leader approval. "
"training","Advanced Technical Rescue","Coast side","Dan Herman","2008-09-27","2008-09-28","","","Annual technical rescue training on designing, building and operating a variety of rescue systems. Attendance at prior Basic Technical Rescue Training or substantial technical experience is required. [Guests at discretion of Training Leader.]"
"training","Trainee Skills Weekend","Mt Diablo","Jeremy Rahe","2008-11-22","2008-11-23","","","Trainee packet sign off"
"training","Medical Skills & Scenarios","Huddart Park, Woodside","Cris Benner","2008-10-25","","","","We will take our skills and knowledge and put it to use. We will have various search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate type of evacuation with various search and rescue equipment.We also will practice immobilizing fractures and injuries with different types of devices, packaging patients with various injuries, and work with medical equipment.  CEU�s will be provided to EMT�s. Participation is open to BAMRU members and guests"
"meeting","General","Public Meet & Greet 1/2 hr before mtg","","2008-02-04","","","",""
"meeting","General","Public Meet & Greet 1/2 hr before mtg","","2008-03-17","","","",""
"meeting","General","Public Meet & Greet 1/2 hr before mtg","","2008-04-21","","","",""
"training","Tracking and CPR-Pro","Redwood City","Marco Cavalieri, Donna Fox, Traci Farrell","2008-05-17","2008-05-18","","","Saturday May 17 will deliver the fundamentals of tracking. Plan on spending a lot of time on your knees teaching your eyes to see the tiny details that reveal a story. Sunday May 18 will be CPR-pro training. Attendees can expect to earn a Red Cross CPR for the Professional Rescuer certification (CPR-FPR). Possible small materials fee, possible prep/pre-read. [Open to guests who have attended any prior BAMRU Training. Not open to first-time guests.]"
"training","Self Rescue","Castle Rock S.P.","Lucas Marciniak","2007-11-17","2007-11-18","","","Self Rescue for applicable to both SAR and recreational climbing situations."
"other","Sheriff's Driver Training Part 1","Redwood City","TBA","2008-07-02","","","","This evening classroom session, in conjunction with the subsequent hands-on training, provides 2-year certification to drive San Mateo County rescue and transport vehicles.  19:30 at San Mateo County Hall of Justice, 401 Marshall St.  Contact Jeremy Rahe to RSVP."
"other","Ham Radio Licensing","Marin SAR, Novato","Marciniak","2008-02-23","","","","We have been invited to attend a one-day ham radio class hosted by Marin SAR on Saturday, February 23rd from 9am to 4pm at the Marin SAR cache (bldg 816) in Novato. The cost for the class and international license is $25. Please pre-register with name, email, and phone number as per the instructions sent to the group list."
"other","All Unit Search Practice","TBA","SMSO","2008-04-19","","","","Mock SAR. Great Chance to work with all SMSO units."
"other","CPR Full Course","Redwood City","ESD","2008-02-16","","","","CPR/FPR/AED class is scheduled for Saturday February 16,2008 starting at 0800,  at the DOC. This will be a complete class withvideo. Certificate valid for one year. "
"other","MRA evaluation of San Bernadino Cave Rescue Team","Mt. Baldy","Chang","2008-02-09","","","","BAMRU will participate as one evaluator unit for San Bernadino County Cave Rescue Team's Certification in Snow and Ice"
"other","MRA evaluation of Monterey SAR","Pinnacles","Chang","2008-02-17","","","","BAMRU will participate as one evaluator unit for the Monterey County SAR's Rock Rescue pre-test."
"other","RFR","Yosemite","Chang/Little","2008-11-08","2008-11-15","","","Sending three BAMRU members to the Rigging for Rescue course with a generous donation form theLaci & Connor Fund."
"other","SAREX","Donner Pass State Park","TBA","2008-09-05","2008-09-07","","","SAREX conference"
"other","MarinSAR Technical Training","Marin County","Marciniak","2008-05-03","","","","BAMRU trains jointly with MarinSAR. "
"other","Sheriff's Driver Training Part 2","Redwood City","TBA","2008-07-19","2008-07-20","","","In conjunction with the earlier classroom module, this Sunday morning practical session provides training to drive County vehicles.  Sign up for a one-hour time slot between 8am-2pm on either day.  Meet at the <a href='http://www.sanmateocourt.org/director.php?filename=./generalinfo/locsthmap.html'>jury parking lot</a>"
"training","Heli Training & Mock Search with Contra Costa SAR","Mt Diablo vicinity","Cris Benner, Contra Costa SAR","2008-07-19","","","","BAMRU has been invited to be a guest at Contra Costa SAR helicopter training with CHP rescue helicopter. Will include a mock search, safe helicopter procedures, insertions & extractions with helicopter."
"other","Ham Radio Study & Testing","San Francisco","BAEARS","2008-11-01","","","","The Bay Area Educational Amateur Radio Society (BAEARS) is hosting a one-day Amateur radio study session followed by FCC license testing.  Visit the <a href=\'http://baears.com/\'>BAEARS website</a> for additional details and to register.  Contact <a href=\'mailto:lars_a@mindspring.com\'>Lars Ahntholz</a>, Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations."
"other","Explorer Training","Huddart Part","Marciniak","2008-11-08","","","","Teach patient assessment and SAR skills to the Explorer academy."
"other","CoCo SAR MRA Prep","Mount Diablo","Marciniak","2008-11-15","","","","Assist Contra Costa County prepare for MRA testing. Attending: Marciniak and Ahntholz"
"meeting","General","Castro Valley - 2009"," (not 3rd Monday)","2009-01-12","","","","January 2009."
"meeting","General","Castro Valley"," 7pm Open House","2009-02-09","","","",""
"meeting","General","Redwood City"," 7pm Open House","2009-03-16","","","",""
"other","BAMRU Open House","Redwood City","Little","2009-02-09","","","","This is a chance for anyone who might be interested in joining BAMRU to get a feel for what we do, and to meet some of the members of the team.  There will be a brief presentation about the team, but most of the time will be devoted to Q&A. People are welcome to stay for the general meeting following this session."
"meeting","General","Castro Valley"," (not 3rd Monday)","2009-05-11","","","",""
"meeting","General","Redwood City","","2009-06-15","","","",""
"meeting","General","Castro Valley","","2009-07-20","","","",""
"meeting","General","Redwood City","","2009-08-17","","","",""
"meeting","General","Castro Valley","","2009-09-21","","","",""
"meeting","General","Redwood City","","2009-10-19","","","",""
"meeting","General","Castro Valley","","2009-11-16","","","",""
"other","CPR-FPR","Redwood City","T.Farrell","2009-03-14","","","","American Red Cross version of CPR pro. BAMRU Members only. Contact T. Farrell to register. Note that ARC now provides a TWO YEAR certification. "
"training","Winter Skills - 2009","South Tahoe","Leak","2009-01-24","2009-01-25","","","We will conduct a two-day winter training exercise for BAMRU members, trainees and selected guests.<p>During the training, we will engage in a number of exercises, which may include:<ul><li>navigation and routefinding<li>avalanche assessment <li>beacon search <li>winter shelters<li>ice axe arrest <li>snow anchors<li>probe search</ul>More detailed information and assignments will be distributed via our Yahoo group and at our General Meeting prior to the training."
"training","Snow rescue systems","Tahoe area","Parker","2009-02-21","2009-02-22","","","Focus on snow technical rescue scenarios"
"training","SAR Intro & Mock Search","San Mateo County","Seffens","2009-03-21","","","","This hands-on day is designed for people who are considering joining BAMRU. You will have a chance to get to know BAMRU people in a field setting and participate in SAR field activities. If you want to go on this training, you are REQUIRED to attend the Monday March 16 General Meeting. This training will provide a flavor of typical search and rescue work, including working with the family/friends of the missing person, search organization and management, the vital role of the Sheriffs Office, radio communications, field search techniques, and carryout of an injured person in a litter. Should you determine that you are interested in volunteering with BAMRU, you will then want to attend the April SAR Basic training. "
"training","SAR Basic Training","San Mateo County","Dimmler","2009-04-25","2009-04-26","","","Intensive weekend training to orient prospective members on the basic skills required to contribute effectively to search and rescue operations. Intended for people with no prior SAR experience. "
"training","All-Unit SMSO Mock Search","San Mateo County","ESD/Parker","2009-05-16","","","","A 'Mock Search' collaboration of the various county search resources to practice a multi-subject search.  Further details will be revealed when the team is paged to the incident.  Members and Trainees only.  (So get your applications in!)"
"other","SAREX 2009","Yosemite","TBA","2009-09-11","2009-09-13","","","http://sarex2009.com/"
"training","Trainee Skills Day","San Mateo County","Hoagland","2009-03-22","","","","Trainee skills day, open to trainees & members only."
"training","Rock Skills","Tahoe area","Marciniak","2009-06-06","2009-06-07","","","Two day course in general rock skills applied to SAR applications. Topics include Anchors (trad gear and natural protection), belaying, Rappelling, Basic self-rescue, jugging, and using your emergency evac equipment. Focus will be on both theory and practice. "
"other","Explorer Medical Support","Big Basin","Marciniak","2009-07-30","2009-08-02","","","Marciniak providing medical support and instruction for explorer camp."
"training","Advance Rock Skill Practicum","Yosemite Valley","Marciniak","2009-07-01","2009-07-03","","","Marciniak taking a limit number to climb Royal Arches. Focus on simul-climbing and moving efficiently on 5th class terrain. "
"training","Alpine Skills","Little Lakes Valley","Jacobs","2009-08-21","2009-08-23","","","The training will focus on lightweight techniques for covering distances quickly in an Alpine environment and on developing/increasing comfort in mountain settings. The training will include a peak attempt over Class III terrain at altitude (13-14k). Basic snow travel / safety (i.e. ice axe arrest, crampon technique) will be practiced if conditions permit. This training will not teach ice axe and crampon technique. Open to members and select trainees with leader approval. Friday the 21st will be an optional day trip out of Tuolumne Meadows focusing on roped, technical travel over easy 5th class terrain."
"training","Advanced Technical Rescue (New Date)","Yosemite Valley","Marciniak","2009-09-18","2009-09-20","","","Advanced technical rescue training on designing, building and operating a variety of rescue systems. Attendance at prior Basic Technical Rescue Training is required. [Guests at discretion of Training Leader.]"
"training","Medical Skills & Scenarios (New Date)","San Mateo Co, CA","Benner","2009-10-24","","","","We will take our skills and knowledge and put it to use. We will have various search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate type of evacuation with various search and rescue equipment.We will practice immobilizing fractures and injuries with different types of devices, packaging patients with various injuries, and work with medical equipment. We will discuss mass casualty triage and possibly how to be a first responder upon the scene of a motor vehicle accident and general traffic management tips.Participation is open to BAMRU members, trainees & possibly guests with prior permission from leader."
"training","Trainee Skills Sign-off","Castro Valley ","Tompos","2009-11-21","","","","Trainee packet sign off. An important opportunity for Trainee Members to make progress on their skills.Meet at the Castro Valley classroom at 9:30 am. Radio, Search Strategy and Navigation as well as assortment of other skills to practice and demonstrate.Trainees and members only."
"other","50th Anniversary MRA Mtg","Mt Hood, OR","Chang","2009-06-26","2009-06-28","","","<a href='http://mra.org/training/events.php'>Info from MRA here</a>"
"other","End of Year Party","Lucas'","Marciniak","2008-12-13","","","","End of the year celebration. Sorry, not open to the public. Starts at 1600"
"other","Merit Award Nominations due","TBA","Grossman","2009-11-01","","","","Merit Award Nominations due"
"other","BASARC","East Bay Regional Parks","TBA","2009-01-03","","","","BASARC Meeting"
"other","BASARC","San Jose SAR","TBA","2009-03-07","","","","BASARC Meeting"
"other","MRA National Winter Meeting ","Salt Lake City","Chang/Yaffee","2009-01-10","2009-01-11","","","Annual MRA National Winter Meeting. MRA strategic planning sessions, updates. "
"other","BASARC","Marin SAR","TBA","2009-09-19","","","","BASARC Meeting"
"other","BASARC","Contra Costa SAR","TBA","2009-11-07","","","","BASARC Meeting"
"other","BASARC Section Chief Training","Alameda","Appointed","2009-02-07","","","","Two weekends: Feb 7,8,14,&15Marciniak and Grossman Attending"
"other","Ham Radio Study & Testing","Los Altos","BAEARS.com","2009-01-24","","","","The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
